accountNumber,ds,category,forecasted_amount,method
100000001,2026-08,dining_cafes,385.4760478502816,prophet
100000001,2026-09,dining_cafes,387.4449992988461,prophet
100000001,2026-10,dining_cafes,389.35043618455364,prophet
100000001,2026-11,dining_cafes,391.3193876331182,prophet
100000001,2026-12,dining_cafes,393.22482451882576,prophet
100000001,2027-01,dining_cafes,395.19377596739025,prophet
100000001,2026-08,electricity_water_gas,487.2596406518602,prophet
100000001,2026-09,electricity_water_gas,486.94414181241217,prophet
100000001,2026-10,electricity_water_gas,486.63882035488183,prophet
100000001,2026-11,electricity_water_gas,486.3233215154338,prophet
100000001,2026-12,electricity_water_gas,486.01800005790346,prophet
100000001,2027-01,electricity_water_gas,485.70250121845544,prophet
100000001,2026-08,entertainment,220.56069385262566,prophet
100000001,2026-09,entertainment,220.5577271863489,prophet
100000001,2026-10,entertainment,220.5548562189843,prophet
100000001,2026-11,entertainment,220.55188955270754,prophet
100000001,2026-12,entertainment,220.54901858534294,prophet
100000001,2027-01,entertainment,220.5460519190662,prophet
100000001,2026-08,groceries,2547.7416712352797,prophet
100000001,2026-09,groceries,2541.6800605353637,prophet
100000001,2026-10,groceries,2535.8139856644775,prophet
100000001,2026-11,groceries,2529.752374964562,prophet
100000001,2026-12,groceries,2523.886300093676,prophet
100000001,2027-01,groceries,2517.82468939376,prophet
100000001,2026-08,healthcare_insurance,255.34009915111517,prophet
100000001,2026-09,healthcare_insurance,256.14872117913137,prophet
100000001,2026-10,healthcare_insurance,256.9312586255986,prophet
100000001,2026-11,healthcare_insurance,257.73988065361476,prophet
100000001,2026-12,healthcare_insurance,258.522418100082,prophet
100000001,2027-01,healthcare_insurance,259.33104012809815,prophet
100000001,2026-08,internet_mobile,290.32693035110367,prophet
100000001,2026-09,internet_mobile,290.1126794839403,prophet
100000001,2026-10,internet_mobile,289.9053399350725,prophet
100000001,2026-11,internet_mobile,289.6910890679091,prophet
100000001,2026-12,internet_mobile,289.4837495190413,prophet
100000001,2027-01,internet_mobile,289.2694986518779,prophet
100000001,2026-08,rent,3694.4165761657723,prophet
100000001,2026-09,rent,3706.764934166421,prophet
100000001,2026-10,rent,3718.714958038016,prophet
100000001,2026-11,rent,3731.063316038664,prophet
100000001,2026-12,rent,3743.0133399102597,prophet
100000001,2027-01,rent,3755.3616979109074,prophet
100000001,2026-08,shopping_clothing,271.19095987571524,prophet
100000001,2026-09,shopping_clothing,271.46661335053943,prophet
100000001,2026-10,shopping_clothing,271.7333747777886,prophet
100000001,2026-11,shopping_clothing,272.0090282526127,prophet
100000001,2026-12,shopping_clothing,272.27578967986193,prophet
100000001,2027-01,shopping_clothing,272.5514431546861,prophet
100000001,2026-08,subscriptions,315.6064216232079,prophet
100000001,2026-09,subscriptions,315.93812774293605,prophet
100000001,2026-10,subscriptions,316.2591336652536,prophet
100000001,2026-11,subscriptions,316.59083978498177,prophet
100000001,2026-12,subscriptions,316.9118457072994,prophet
100000001,2027-01,subscriptions,317.24355182702755,prophet
100000001,2026-08,transport_fuel,267.98726824110076,prophet
100000001,2026-09,transport_fuel,268.51100496561276,prophet
100000001,2026-10,transport_fuel,269.017846957076,prophet
100000001,2026-11,transport_fuel,269.541583681588,prophet
100000001,2026-12,transport_fuel,270.0484256730512,prophet
100000001,2027-01,transport_fuel,270.57216239756326,prophet
100000002,2026-08,dining_cafes,820.4952473777687,prophet
100000002,2026-09,dining_cafes,824.8473330561593,prophet
100000002,2026-10,dining_cafes,829.0590288739569,prophet
100000002,2026-11,dining_cafes,833.4111145523476,prophet
100000002,2026-12,dining_cafes,837.6228103701451,prophet
100000002,2027-01,dining_cafes,841.9748960485358,prophet
100000002,2026-08,electricity_water_gas,705.503313050974,prophet
100000002,2026-09,electricity_water_gas,701.3303599350647,prophet
100000002,2026-10,electricity_water_gas,697.2920182099913,prophet
100000002,2026-11,electricity_water_gas,693.1190650940821,prophet
100000002,2026-12,electricity_water_gas,689.0807233690086,prophet
100000002,2027-01,electricity_water_gas,684.9077702530993,prophet
100000002,2026-08,entertainment,667.2119542251947,prophet
100000002,2026-09,entertainment,667.291067358174,prophet
100000002,2026-10,entertainment,667.3676284546057,prophet
100000002,2026-11,entertainment,667.446741587585,prophet
100000002,2026-12,entertainment,667.5233026840166,prophet
100000002,2027-01,entertainment,667.6024158169959,prophet
100000002,2026-08,groceries,5999.482057461991,prophet
100000002,2026-09,groceries,5981.759002126213,prophet
100000002,2026-10,groceries,5964.607658252879,prophet
100000002,2026-11,groceries,5946.884602917101,prophet
100000002,2026-12,groceries,5929.733259043767,prophet
100000002,2027-01,groceries,5912.01020370799,prophet
100000002,2026-08,healthcare_insurance,172.18135404127455,prophet
100000002,2026-09,healthcare_insurance,169.41610152089928,prophet
100000002,2026-10,healthcare_insurance,166.74005069472972,prophet
100000002,2026-11,healthcare_insurance,163.97479817435445,prophet
100000002,2026-12,healthcare_insurance,161.29874734818486,prophet
100000002,2027-01,healthcare_insurance,158.53349482780962,prophet
100000002,2026-08,internet_mobile,371.27112836373294,prophet
100000002,2026-09,internet_mobile,370.7207953369242,prophet
100000002,2026-10,internet_mobile,370.18821498839964,prophet
100000002,2026-11,internet_mobile,369.6378819615909,prophet
100000002,2026-12,internet_mobile,369.10530161306633,prophet
100000002,2027-01,internet_mobile,368.55496858625764,prophet
100000002,2026-08,shopping_clothing,540.5750607269576,prophet
